candidate_state,case,method,region,voxel_count,reliability_mean,aggregation
final_decoder_feature,HEM_PA99.nii.gz,gamma_world_stability,TP,1014552,0.3276549128070764,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,pairwise_joint_product,FN,86893,0.0004539099174594976,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,pairwise_joint_product,FP,53950,0.00036263291459931636,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,pairwise_joint_product,TN,27156157,0.3149595876368636,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,pairwise_joint_product,TP,1014552,0.04456044374578707,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,pairwise_world_stability,FN,86893,0.013677381342990092,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,pairwise_world_stability,FP,53950,0.014317869804902487,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,pairwise_world_stability,TN,27156157,0.5161507246711811,case_patch_macro
final_decoder_feature,HEM_PA99.nii.gz,pairwise_world_stability,TP,1014552,0.1394289143487654,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,blur_joint_product,FN,86893,0.0004641626003502814,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,blur_joint_product,FP,53950,0.0004838411379432894,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,blur_joint_product,TN,27156157,0.3104565748281368,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,blur_joint_product,TP,1014552,0.052673629559752994,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,blur_world_stability,FN,86893,0.015316558230760634,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,blur_world_stability,FP,53950,0.01854287226790265,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,blur_world_stability,TN,27156157,0.514455467034917,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,blur_world_stability,TP,1014552,0.18304706869120588,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,confidence_rank,FN,86893,0.011759335322502555,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,confidence_rank,FP,53950,0.013374727795450186,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,confidence_rank,TN,27156157,0.5164438763566896,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,confidence_rank,TP,1014552,0.1326144910886857,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,gamma_joint_product,FN,86893,0.000580086841009869,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,gamma_joint_product,FP,53950,0.0016406157479157604,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,gamma_joint_product,TN,27156157,0.3090965219062626,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,gamma_joint_product,TP,1014552,0.08740231307056902,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,gamma_world_stability,FN,86893,0.014142323078815668,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,gamma_world_stability,FP,53950,0.04195309259536121,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,gamma_world_stability,TN,27156157,0.5090218310759013,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,gamma_world_stability,TP,1014552,0.3276549128070764,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,pairwise_joint_product,FN,86893,0.0004539099174594976,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,pairwise_joint_product,FP,53950,0.00036263291459931636,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,pairwise_joint_product,TN,27156157,0.3149595876368636,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,pairwise_joint_product,TP,1014552,0.04456044374578707,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,pairwise_world_stability,FN,86893,0.013677381342990092,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,pairwise_world_stability,FP,53950,0.014317869804902487,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,pairwise_world_stability,TN,27156157,0.5161507246711811,case_patch_macro
final_decoder_stage_input,HEM_PA99.nii.gz,pairwise_world_stability,TP,1014552,0.1394289143487654,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,blur_joint_product,FN,86893,0.0004912823857624667,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,blur_joint_product,FP,53950,0.0004897514250316191,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,blur_joint_product,TN,27156157,0.31162228467175795,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,blur_joint_product,TP,1014552,0.058438998146153935,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,blur_world_stability,FN,86893,0.015462788782338595,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,blur_world_stability,FP,53950,0.018420916234795748,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,blur_world_stability,TN,27156157,0.5144648059799057,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,blur_world_stability,TP,1014552,0.18258090204086463,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,confidence_rank,FN,86893,0.011759335322502555,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,confidence_rank,FP,53950,0.013374727795450186,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,confidence_rank,TN,27156157,0.5164438763566896,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,confidence_rank,TP,1014552,0.1326144910886857,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,gamma_joint_product,FN,86893,0.0006064943318528593,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,gamma_joint_product,FP,53950,0.0014985475929656827,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,gamma_joint_product,TN,27156157,0.31279471638712086,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,gamma_joint_product,TP,1014552,0.08811794407103268,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,gamma_world_stability,FN,86893,0.014612419979342697,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,gamma_world_stability,FP,53950,0.039427335061842796,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,gamma_world_stability,TN,27156157,0.509071343113561,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,gamma_world_stability,TP,1014552,0.3261982409952958,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,pairwise_joint_product,FN,86893,0.0004891387247566808,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,pairwise_joint_product,FP,53950,0.0003616762475620404,case_patch_macro
full_voxtell_reference,HEM_PA99.nii.gz,pairwise_joint_product,TN,27156157,0.3170002250232856,case_patch_macro
